timestamp,location,lat,lon,raw_text,Priority_Cluster
2025-07-10 00:00:00,Chopta,30.522319939418114,79.13098658484196,jaldi madad chahiye!,0
2025-07-10 00:00:00,Chopta,30.51655994520336,79.12558083612167,We have zero rations. send help,0
2025-07-10 00:00:00,Ukhimath,30.52208072577796,79.19520584494296,We are water rising near the bridge.,2
2025-07-10 01:00:00,Phata,30.553324426408004,79.04712339110678,Landslide. road blocked in Phata.,1
2025-07-10 01:00:00,Ukhimath,30.51683404509853,79.1980424224296,Urgent stuck here for old man. No doctor.,2
2025-07-10 01:00:00,Sitamata,30.49931945018642,79.14791229140198,Urgent evacuate for old man. No doctor.,2
2025-07-10 02:00:00,Gaurikund,30.64639493860652,79.07792144648535,We have zero rations. madad chahiye,0
2025-07-10 02:00:00,Phata,30.54956069984217,79.05285175961393,We have zero rations. madad chahiye,0
2025-07-10 02:00:00,Phata,30.550924145688622,79.0454645041272,We are rasta band hai near the bridge.,2
2025-07-10 03:00:00,Chopta,30.516705241236878,79.12565051592985,We have kam khana. send help,0
2025-07-10 03:00:00,Sitamata,30.504656320330746,79.15308397348117,Landslide. road blocked in Ukhimath.,1
2025-07-10 03:00:00,Chopta,30.52184233026512,79.12940152493739,We are fas gaye near the bridge.,2
2025-07-10 04:00:00,Chopta,30.519951769101112,79.12534388521115,We have zero rations. send help,0
2025-07-10 04:00:00,Banswara,30.397587799816,79.10162522284354,Urgent evacuate for old man. No doctor.,2
2025-07-10 05:00:00,Gaurikund,30.65046710279343,79.07684854455525,We are rasta band hai near the bridge.,2
2025-07-10 05:00:00,Banswara,30.40275132823361,79.10439498941564,Landslide. children trapped in Chopta.,2
2025-07-10 05:00:00,Chopta,30.52097899978811,79.13421874235023,We have kam rations. madad chahiye,0
2025-07-10 06:00:00,Ukhimath,30.515452272889107,79.19825330330764,We are khana nahi hai near the bridge.,2
2025-07-10 06:00:00,Sitamata,30.49771349031774,79.15328737509152,Urgent stuck here for old man. No medicine.,2
2025-07-10 06:00:00,Banswara,30.39780934509687,79.10042696083158,We have zero khana. send help,0
2025-07-10 07:00:00,Sitamata,30.4957455064368,79.15486886936601,We are dawaai chahiye near the bridge.,2
2025-07-10 07:00:00,Banswara,30.39698715681534,79.09505522117124,We have zero rations. madad chahiye,0
2025-07-10 07:00:00,Banswara,30.402068573438477,79.1022900716804,Landslide. children trapped in Sitamata.,2
2025-07-10 08:00:00,Chopta,30.51574044651734,79.12858465728544,We have zero rations. madad chahiye,0
2025-07-10 08:00:00,Gaurikund,30.653631034258755,79.08123298126827,Landslide. children trapped in Ukhimath.,2
2025-07-10 09:00:00,Phata,30.54563558350286,79.04810982321716,Urgent stuck here for old man. No medicine.,2
2025-07-10 09:00:00,Banswara,30.40137557471355,79.10387212742576,We are pani bhar gaya near the bridge.,2
2025-07-10 09:00:00,Sitamata,30.496195942459384,79.15213244787223,Urgent evacuate for old man. No doctor.,2
2025-07-10 10:00:00,Ukhimath,30.520612771975696,79.20270967179955,Landslide. children trapped in Ukhimath.,2
2025-07-10 10:00:00,Chopta,30.52022732829382,79.12927541018358,We have zero rations. madad chahiye,0
2025-07-10 10:00:00,Banswara,30.39607891426993,79.09531429185687,We have zero khana. madad chahiye,0
2025-07-10 11:00:00,Ukhimath,30.518143559810763,79.20008570691165,Landslide. children trapped in Phata.,2
2025-07-10 11:00:00,Chopta,30.51749292229149,79.12910382923035,Urgent stuck here for old man. No medicine.,2
2025-07-10 11:00:00,Banswara,30.39728798165492,79.09576979909828,Urgent stuck here for old man. No medicine.,2
